parameters,RMSE,MAPE
layers: [4] learning rate: 1e-05 batch size: 64,500.0669604592947,0.0799621613742716
layers: [4] learning rate: 1e-05 batch size: 96,527.5779653533529,0.08326352239818406
layers: [4] learning rate: 1e-05 batch size: 128,846.5033221480495,0.13362428955125888
layers: [4] learning rate: 1e-05 batch size: 256,583.9170671489927,0.09267351872239703
layers: [4] learning rate: 0.0001 batch size: 64,497.148611816556,0.07299812163858564
layers: [4] learning rate: 0.0001 batch size: 96,421.94590634435883,0.06735945171431619
layers: [4] learning rate: 0.0001 batch size: 128,436.9447094321564,0.0689142085325505
layers: [4] learning rate: 0.0001 batch size: 256,415.86988710680663,0.06563217972399865
layers: [4] learning rate: 0.001 batch size: 64,389.11919602971204,0.06129882922593801
layers: [4] learning rate: 0.001 batch size: 96,413.1479797618526,0.06492402393232337
layers: [4] learning rate: 0.001 batch size: 128,388.6158293576329,0.060337897945301096
layers: [4] learning rate: 0.001 batch size: 256,448.78003251241495,0.07127286662183627
layers: [16_16_12_8_4] learning rate: 1e-05 batch size: 64,728.2524900267138,0.1093277982903918
layers: [16_16_12_8_4] learning rate: 1e-05 batch size: 96,609.2290159283486,0.09635226382984816
layers: [16_16_12_8_4] learning rate: 1e-05 batch size: 128,604.2342325008674,0.09615525263807326
layers: [16_16_12_8_4] learning rate: 1e-05 batch size: 256,669.2651967630901,0.10379809619818497
layers: [16_16_12_8_4] learning rate: 0.0001 batch size: 64,457.99401801138174,0.06926695858149934
layers: [16_16_12_8_4] learning rate: 0.0001 batch size: 96,472.79457835832795,0.07103872940755221
layers: [16_16_12_8_4] learning rate: 0.0001 batch size: 128,509.09163495992306,0.08182995911875846
layers: [16_16_12_8_4] learning rate: 0.0001 batch size: 256,501.66497562493316,0.08015534202447432
layers: [16_16_12_8_4] learning rate: 0.001 batch size: 64,439.5566386197955,0.06624319927496705
layers: [16_16_12_8_4] learning rate: 0.001 batch size: 96,426.6226096056758,0.06627455937783461
layers: [16_16_12_8_4] learning rate: 0.001 batch size: 128,508.8593137373541,0.07540869156019235
layers: [16_16_12_8_4] learning rate: 0.001 batch size: 256,431.5287264392478,0.06579459140645741
layers: [16_12_12_8_4] learning rate: 1e-05 batch size: 64,604.9961733945537,0.09864506980366623
layers: [16_12_12_8_4] learning rate: 1e-05 batch size: 96,624.329891643997,0.09854666260055232
layers: [16_12_12_8_4] learning rate: 1e-05 batch size: 128,606.2683042075435,0.09705686787425018
layers: [16_12_12_8_4] learning rate: 1e-05 batch size: 256,879.4150381616264,0.13660029849507135
layers: [16_12_12_8_4] learning rate: 0.0001 batch size: 64,460.02272824877025,0.07370709113935842
layers: [16_12_12_8_4] learning rate: 0.0001 batch size: 96,554.8762650914956,0.08116394124775128
layers: [16_12_12_8_4] learning rate: 0.0001 batch size: 128,682.7569364676675,0.1027617402888674
layers: [16_12_12_8_4] learning rate: 0.0001 batch size: 256,538.0764006241917,0.08875952266440663
layers: [16_12_12_8_4] learning rate: 0.001 batch size: 64,501.30270479885746,0.07547482262302709
layers: [16_12_12_8_4] learning rate: 0.001 batch size: 96,449.39569978658784,0.07070895151602488
layers: [16_12_12_8_4] learning rate: 0.001 batch size: 128,437.73248977416046,0.064657555090316
layers: [16_12_12_8_4] learning rate: 0.001 batch size: 256,543.2810562027892,0.08035509012540815
layers: [4_4_4_4] learning rate: 1e-05 batch size: 64,671.9702464525978,0.10525480258454853
layers: [4_4_4_4] learning rate: 1e-05 batch size: 96,669.8683422035215,0.10626898844885713
layers: [4_4_4_4] learning rate: 1e-05 batch size: 128,653.4736215925532,0.102571300959588
layers: [4_4_4_4] learning rate: 1e-05 batch size: 256,681.4671245757413,0.10670350614712533
layers: [4_4_4_4] learning rate: 0.0001 batch size: 64,550.7314982852408,0.08583888503072547
layers: [4_4_4_4] learning rate: 0.0001 batch size: 96,494.4939084523751,0.07577229140625216
layers: [4_4_4_4] learning rate: 0.0001 batch size: 128,672.6845983734604,0.10749250363672337
layers: [4_4_4_4] learning rate: 0.0001 batch size: 256,664.7181872197717,0.10501180678972573
layers: [4_4_4_4] learning rate: 0.001 batch size: 64,515.1166338724252,0.07918026647124911
layers: [4_4_4_4] learning rate: 0.001 batch size: 96,557.8719660213364,0.0814897419212945
layers: [4_4_4_4] learning rate: 0.001 batch size: 128,596.1266413380679,0.09173795044138296
layers: [4_4_4_4] learning rate: 0.001 batch size: 256,497.84752145724605,0.07666786121030769
